Name,Purpose,Qty,Unit Price (USD),Total (USD),Distributor,Link
Keyboard PCB,Connecting all the components,5,5.80,29.00,JLCPCB,https://jlcpcb.com
rp2040-zero,A small brain for the whole system,1,1.99,1.99,Aliexpress,https://www.aliexpress.com/item/YOUR_LINK_HERE
Kailh Choc Hotswap Sockets,Socket to swap switches so much faster,100,0.09,8.58,Aliexpress,https://www.aliexpress.com/item/YOUR_LINK_HERE
Kailh Choc Low Profile Keycaps Black,A bigger surface to type on,70,0.26,18.53,Aliexpress,https://www.aliexpress.com/item/YOUR_LINK_HERE
Kailh Choc Low Profile Switch 1350 Red,Switch for keys,70,0.38,26.59,Aliexpress,https://www.aliexpress.com/item/YOUR_LINK_HERE
